,,CRD,CRD,CRD,WGT igg=10,WGT igg=10,WGT igg=10,WGT igg=10 wgt-adjusted,WGT igg=10 wgt-adjusted,WGT igg=10 wgt-adjusted
,,flug,fldg,fnetg,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,,,,
0.3871,21,-17.922659216,0.29643558578299994,-17.6262236704,-17.607749118,0.28750143285599994,-17.320247637599998,-17.547814518000003,0.28740483053599997,-17.2604096376
0.5431,22,-17.958269811,0.42682657403400004,-17.531443267199997,-17.642083383,0.415486932889,-17.2265964602,-17.582174082999998,0.415270048689,-17.1669040602
0.7617,23,-17.978681125,0.6199119878999998,-17.3587689951,-17.660000137999997,0.6128236634800001,-17.047176452499997,-17.600177538,0.61232583628,-16.987851652499998
1.0685,24,-17.941817264999997,0.88877217256,-17.05304506155,-17.622902404,0.88873471045,-16.73416766182,-17.563317304,0.88760948335,-16.67570776182
1.4988,25,-17.834572396,1.1950082783,-16.639564138700003,-17.519291206000002,1.18902215908,-16.3302690364,-17.460173206,1.18670905608,-16.2734642364
2.1024,26,-17.68800626,1.4987245013,-16.189281737599998,-17.377244699,1.4631206264899999,-15.914123911999999,-17.318856199,1.4588027594899997,-15.860053312
2.949,27,-17.512420355,1.8159883015000002,-15.696432100500001,-17.205367741,1.7632641383,-15.442103539799998,-17.148088541,1.7555231423,-15.3925653398
4.1366,28,-17.309234896,2.1662570087999997,-15.1429779079,-17.004450185,2.1495326269999997,-14.8549175547,-16.948891585000002,2.135740829,-14.813150854700002
5.8025,29,-17.080558135,2.5694476014,-14.5111104753,-16.775650452,2.6063612272000003,-14.1692891417,-16.722772552,2.5817614512000007,-14.141011141700002
8.1392,30,-16.822858445,3.0504402308,-13.7724181684,-16.512917085,3.0838032577,-13.4291139792,-16.464088985,3.0407458777,-13.4233431792
11.417,31,-16.527398974,3.626315286,-12.901083591999999,-16.204565958,3.6250064349000004,-12.5795595425,-16.161555858,3.5536184049000004,-12.6079375425
16.0147,32,-16.200522125000003,4.292234353,-11.908287838699998,-15.857870245,4.3778932909999995,-11.479976923299999,-15.822505945,4.271171870999999,-11.5513341233
22.464,33,-15.884825307000002,5.034963463,-10.8498619375,-15.519514424999999,5.342341873,-10.1771726301,-15.492689724999998,5.206603512999999,-10.2860861601
31.5105,34,-15.603033563,5.879609541,-9.723424013999999,-15.210579827,6.331863126,-8.8787166313,-15.192295226999999,6.185193126000001,-9.0071021343
44.2001,35,-15.321586258,6.836778602,-8.48480761858,-14.892281440000001,7.244370553,-7.64791101568,-14.883721940000001,7.080116052999999,-7.803606025679999
62.0,36,-15.069402898,7.799570957,-7.26983189607,-14.595010416000001,8.25040276,-6.3446077364999995,-14.596606816,8.03844006,-6.558166826499999
85.775,37,-14.997598116000002,8.623550709,-6.37404735281,-14.482950291999998,9.347855776,-5.1350944989,-14.492596892,9.123311176,-5.3692856528999995
109.55,38,-15.099057025,9.223570192,-5.875486774257,-14.548624001,10.108585461999999,-4.4400385102,-14.564725701,9.934419062,-4.6303065646
133.325,39,-15.263683077,9.759378434,-5.504304730768,-14.672748181,10.621851271,-4.050896804185,-14.699825981,10.514005371,-4.185820544485
157.1,40,-15.604738128000001,10.192259708,-5.41247846088,-14.98626995,10.924450881,-4.0618190537,-15.026836549999999,10.869622981000001,-4.1572135367
180.875,41,-16.352851918,10.657535528,-5.6953162997,-15.750701396000002,11.24340068,-4.5073006734,-15.796744696,11.21641398,-4.580330753399999
204.65,42,-17.440964946999998,11.47522629,-5.9657387711,-16.890628774,11.972729396000002,-4.917899368900001,-16.932358274000002,11.946426595999998,-4.985931668900001
228.425,43,-18.58896723,12.689897987,-5.899069127800001,-18.090814458000004,13.163063743999999,-4.9277507157,-18.126946558,13.126282944,-5.0006635857
252.2,44,-19.724621746,14.039157931999998,-5.685463639,-19.271767134,14.502045357999998,-4.7697216593,-19.303069934,14.462017858000001,-4.8410520393
275.975,45,-20.842292,15.415922323,-5.4263697834,-20.428811498,15.860830334000001,-4.5679811014,-20.456011898000003,15.824018233999999,-4.6319936314
299.75,46,-21.940872611,16.790816691,-5.1500558818,-21.561968324000002,17.214182897999997,-4.3477853553,-21.585666524,17.182338297999998,-4.4033282653
323.525,47,-23.019645663,18.150445527,-4.8692005885,-22.671420992999998,18.556948924,-4.1144722195,-22.692108093,18.529751724,-4.162356259499999
347.3,48,-24.077740079,19.487061087,-4.5906786311,-23.757006795,19.886171392999998,-3.8708348053,-23.775082795,19.862882393,-3.9122004853
371.075,49,-25.113887589,20.795616335,-4.318271279499999,-24.818018264999996,21.197777595,-3.6202402082,-24.833806264999996,21.177729595,-3.6560772282
394.85,50,-26.125909871,22.072349528999997,-4.0535602762,-25.852656765,22.486465865,-3.3661911350000002,-25.866427765,22.469132865,-3.397294735
418.625,51,-27.110542845,23.313362491000003,-3.7971805602,-26.857865499000003,23.745429965,-3.1124348796000003,-26.869854499000002,23.730403965,-3.1394509496000005
442.4,52,-28.065163358999996,24.514478485000005,-3.5506855312,-27.831098343,24.967070699,-2.8640274091,-27.841538343,24.954040699,-2.8874970491000003
466.175,53,-28.989424286,25.672082499000002,-3.3173412513999994,-28.772098946,26.144603743,-2.6274957622,-28.781221946,26.133315743,-2.6479057222
489.95,54,-29.885865152,26.784924196,-3.1009404280000004,-29.683634947,27.274289646,-2.409344805,-29.691649947,27.264506646,-2.4271433350000002
513.725,55,-30.758476438,27.855122082,-2.9033540647000002,-30.570004902999997,28.356581747,-2.2134231301000002,-30.577082902999997,28.348068747,-2.2290139501
537.5,56,-31.610837994,28.886993977999996,-2.7238443085000004,-31.435072503999997,29.394809603,-2.0402625681,-31.441348503999997,29.387358602999996,-2.0539898481
561.275,57,-32.445408687000004,29.885048234,-2.5603609656,-32.281510356,30.393066304,-1.8884439788,-32.287090356,30.386504304,-1.9005865788
585.05,58,-33.263825903,30.852932106999997,-2.4108936954,-33.111118923,31.355102656,-1.7560168442,-33.116092923,31.349296656,-1.7667960541999999
608.825,59,-34.067160643,31.793495562999997,-2.2736646871,-33.925099223000004,32.284329723,-1.6407687962000002,-33.929539223,32.279175723,-1.6503636261999999
632.6,60,-34.856103231,32.70895989300001,-2.1471440355,-34.724242377,33.183836123000006,-1.5404059084,-34.728213376999996,33.179248123,-1.5489651984
656.375,61,-35.631199588,33.601071541,-2.0301287104,-35.509183283,34.056380077,-1.4528033362,-35.512741283000004,34.052287077,-1.4604538162
680.15,62,-36.392750975,34.471317028,-1.9214335146,-36.280312262,34.904492683,-1.3758193259,-36.283503262,34.900833683,-1.3826699459
703.925,63,-37.140702477,35.320976695,-1.81972595433,-37.037654074,35.730419762000004,-1.3072340537199998,-37.040517074,35.727141762,-1.31337556372
727.7,64,-37.874366738,36.151034587,-1.72333247039,-37.780589239,36.535954374,-1.24463504985,-37.783154239000005,36.533013374,-1.25014084985
751.475,65,-38.591755842,36.961893358,-1.6298619216899999,-38.507206346000004,37.322149839000005,-1.1850558059,-38.509492346,37.319511839,-1.1899808859
775.25,66,-39.288319529,37.752797992,-1.5355217405300001,-39.213052349,38.088724846,-1.1243277490399999,-39.215062349,38.086359846,-1.1287032890400002
799.025,67,-39.954782864,38.520552029,-1.43423084174,-39.888894106,38.832762149000004,-1.05613280137,-39.890620106,38.830652149,-1.05996808137
822.8,68,-40.577292481,39.256978564,-1.32031428952,-40.520466113000005,39.545896806,-0.97456894327,-40.521910113,39.544039806,-0.97786971327
846.575,69,-41.144458826999994,39.948205891,-1.19625282035,-41.096010524,40.214261613,-0.88174920501,-41.097208524,40.212664612999994,-0.88454348501
870.35,70,-41.657012646000005,40.581164907,-1.07584798894,-41.616162154,40.824891724,-0.79127084379,-41.617174154000004,40.823553724,-0.79362025379
894.125,71,-42.127655019,41.154237676,-0.97341743989,-42.093881515,41.376489754000005,-0.7173926022,-42.094762515,41.375379754,-0.7193832122
917.9,72,-42.570529348,41.678997199,-0.89153109666,-42.54360776,41.881033615,-0.6625736357500001,-42.54439076,41.880094615,-0.6642947457499999
941.675,73,-42.994030841,42.170540498,-0.8234909666899999,-42.973763136,42.353839560000004,-0.619924055,-42.974468136,42.353023560000004,-0.621445235
965.45,74,-43.400111186,42.639891861,-0.7602203722800001,-43.386223704,42.805994336,-0.58022903967,-43.386859704,42.805267336,-0.58159140967
989.225,75,-43.781547872999994,43.093477365999995,-0.68807072593,-43.77621182199999,43.243938704,-0.53227312501,-43.776502822,43.243284704000004,-0.53321835501
1013.0,76,-43.964837838,43.534834403000005,-0.43000308588,-43.964837027,43.671196122,-0.2936416116,-43.964837027,43.670603122,-0.2942349026
